2025-06-09 09:58:52,307 sINFO     | Login: Admin
2025-06-09 09:58:52,323 sDEBUG    | Parameter01:1000
2025-06-09 09:58:52,323 sDEBUG    | Parameter02:1000
2025-06-09 09:58:52,323 sDEBUG    | ###### set product and version: STARK, V100B001
2025-06-09 09:58:52,323 sDEBUG    | ###### set runner: AATCommonRunner
2025-06-09 09:58:52,372 sDEBUG    | ###### set collector: EVRecordCollector
2025-06-09 09:58:52,372 sDEBUG    | ###### add analyzers: EVRecordCollector
2025-06-09 09:58:52,372 sDEBUG    | ###### set analyzer: CompareFileAnalyzer
2025-06-09 09:58:52,372 sDEBUG    | ###### set device type: device_windows
2025-06-09 09:58:52,372 sDEBUG    | ###### set value: Config_Project_round - [1,None]
2025-06-09 09:58:52,372 sDEBUG    | ###### set value: Config_TestCase_round - [1,None]
2025-06-09 09:58:52,374 sDEBUG    | ###### set value: Config_TestCase_Random - [False,None]
2025-06-09 09:58:52,374 sDEBUG    | ###### set value: Config_PrePare_Mode - [Mode_TestSuite,None]
2025-06-09 09:58:52,374 sINFO     | ###### start runner
2025-06-09 09:58:52,376 sINFO     | 当前指定设备类型为：WindowsDevice， 共匹配设备1台。
2025-06-09 09:58:52,378 sINFO     | ############Project loop : 0 #############
2025-06-09 09:58:52,378 sINFO     | run TestSuilt start : 音频识别[SpeechRecognize]
2025-06-09 09:58:52,378 sINFO     | #########run TestCase: 笔记-媒体音内录 [note_sys]
2025-06-09 09:58:52,480 sINFO     | EV录屏软件安装路径：D:\EVCapture\
2025-06-09 09:58:52,480 sDEBUG    | start cmd: EVCapture.exe , cwd=D:\EVCapture, process_title=EVCapture.exe
2025-06-09 09:58:52,492 sDEBUG    | waiting to load application...
2025-06-09 09:58:56,229 sDEBUG    | start application finished. EVCapture.exe
2025-06-09 09:59:06,364 sDEBUG    | Sleep: ■■■■■■■■■■■■■■■■■■■■ [10/10]
2025-06-09 09:59:16,070 sDEBUG    | Sleep: ■■■■■■■■■■■■■■■■■■■■ [5/5]
2025-06-09 09:59:16,141 sDEBUG    | waiting [text:{'text': '常规'}] ok
2025-06-09 09:59:16,156 sDEBUG    | click: [常规/::0xC352]  (797,577)]
2025-06-09 09:59:18,259 sDEBUG    | waiting [text:{'text': '本地录制'}] ok
2025-06-09 09:59:18,300 sDEBUG    | click: [本地录制/::0xC352]  (1134,586)]
2025-06-09 09:59:19,183 sDEBUG    | click: [仅系统声音/::0xC353]  (1505,739)]
2025-06-09 09:59:21,317 sDEBUG    | waiting [text:{'text': '仅系统声音'}] ok
2025-06-09 09:59:21,358 sDEBUG    | click: [仅系统声音/::0xC357]  (1472,900)]
2025-06-09 09:59:24,534 sDEBUG    | waiting [ex:{'text': '录制', 'id': None, 'type': 50002, 'class_name': None}] ok
2025-06-09 09:59:24,583 sDEBUG    | click: [录制/::0xC352]  (745,1360)]
